match_id,player_id,team_player_id,trackable_object,team_id,team_name,shirt_number,player_short_name,first_name,last_name,position_group,role_name,role_acronym,minutes_played,minutes_played_regular,start_frame,end_frame,start_time,end_time,started,yellow_card,red_card,goals,own_goals,injured,birthday,gender
2017461,795521,1564070,797084,868,Melbourne Victory Football Club,23,A. Badolato,Alexander,Badolato,Wide Attacker,Right Winger,RW,13.05,13.05,62590.0,70419.0,01:23:12,,False,0,0,0,0,False,2005-02-23,male
2017461,965685,1507975,967248,4177,Auckland FC,14,L. Gillion,Liam ,Gillion,Wide Attacker,Left Winger,LW,33.9,33.9,50080.0,70419.0,01:02:21,,False,0,0,0,0,False,2002-10-17,male
2017461,31147,1507955,32245,4177,Auckland FC,5,T. Smith,Tommy,Smith,Central Defender,Center Back,CB,21.35,21.35,57610.0,70419.0,01:14:54,,False,0,0,0,0,False,1990-03-31,male
2017461,50955,72948,52081,868,Melbourne Victory Football Club,17,N. Velupillay,Nishan,Velupillay,Wide Attacker,Left Winger,LW,84.36,84.36,2510.0,62589.0,00:00:00,01:23:12,True,0,0,0,0,False,2001-05-07,male
2017461,23418,1507957,24342,4177,Auckland FC,28,F. Gallegos,Luis Felipe,Gallegos Leiva,Midfield,Left Midfield,LM,80.82,80.82,2510.0,60459.0,00:00:00,01:19:39,True,0,0,0,0,False,1991-12-03,male
2017461,50951,1507963,52077,4177,Auckland FC,22,J. Brimmer,Jake,Brimmer,Midfield,Left Midfield,LM,16.6,16.6,60460.0,70419.0,01:19:39,,False,0,0,0,0,False,1998-04-03,male
2017461,133498,1507956,135053,4177,Auckland FC,15,F. De Vries,Francis,De Vries,Full Back,Left Back,LB,80.82,80.82,2510.0,60459.0,00:00:00,01:19:39,True,0,0,0,0,False,1994-11-28,male
2017461,51713,1507968,52839,4177,Auckland FC,17,C. Elliott,Callan,Elliot,Full Back,Left Wing Back,LWB,16.6,16.6,60460.0,70419.0,01:19:39,,False,0,0,0,0,False,1999-07-07,male
2017461,133501,1507961,135056,4177,Auckland FC,27,L. Rogerson,Logan,Rogerson,Wide Attacker,Right Winger,RW,76.06,76.06,2510.0,57609.0,00:00:00,01:14:54,True,0,0,1,0,False,1998-05-28,male
2017461,582974,1521584,584531,4177,Auckland FC,11,M. Francois,Marlee,Francois,Wide Attacker,Left Winger,LW,63.52,63.52,2510.0,50079.0,00:00:00,01:02:21,True,1,0,0,0,False,2002-12-29,male
2017461,43829,1507969,44955,4177,Auckland FC,25,N. Moreno,Neyder Stiven,Moreno Betancur,Center Forward,Center Forward,CF,33.9,33.9,50080.0,70419.0,01:02:21,,False,0,0,0,0,False,1997-02-09,male
2017461,624628,1507972,626185,4177,Auckland FC,21,J. Randall,Jesse,Randall,Center Forward,Center Forward,CF,63.52,63.52,2510.0,50079.0,00:00:00,01:02:21,True,0,0,0,0,False,2002-08-19,male
2017461,11117,1204867,11127,868,Melbourne Victory Football Club,8,Z. Machach,Zinédine,Machach,Midfield,Attacking Midfield,AM,84.36,84.36,2510.0,62589.0,00:00:00,01:23:12,True,0,0,0,0,False,1996-01-05,male
2017461,51714,1494841,52840,868,Melbourne Victory Football Club,27,R. Piscopo,Reno,Piscopo,Midfield,Attacking Midfield,AM,13.05,13.05,62590.0,70419.0,01:23:12,,False,0,0,0,0,False,1998-05-27,male
2017461,745320,1494844,746883,868,Melbourne Victory Football Club,11,Clarismario Rodrigues,Clarismario,Santos Rodrigues,Wide Attacker,Left Winger,LW,27.18,27.18,54110.0,70419.0,01:09:04,,False,0,0,0,0,False,2001-07-27,male
2017461,50979,828153,52105,868,Melbourne Victory Football Club,10,B. Fornaroli,Bruno,Fornaroli Mezza,Center Forward,Center Forward,CF,27.18,27.18,54110.0,70419.0,01:09:04,,False,0,0,0,0,False,1987-09-07,male
2017461,50977,1494845,52103,868,Melbourne Victory Football Club,22,J. Rawlins,Joshua,Rawlins,Central Defender,Right Center Back,RCB,38.43,38.43,47360.0,70419.0,00:57:49,,False,0,0,0,0,False,2004-04-23,male
2017461,14355,1507962,14552,4177,Auckland FC,1,M. Woud,Michael,Woud,Other,Substitute,SUB,0.0,0.0,,,,,False,0,0,0,0,False,1999-01-16,male
2017461,133495,1507959,135050,4177,Auckland FC,7,C. Howieson,Cameron Drew,Howieson,Other,Substitute,SUB,0.0,0.0,,,,,False,0,0,0,0,False,1994-12-22,male
2017461,33697,1507971,34805,4177,Auckland FC,4,N. Pijnaker,Nando,Pijnaker,Central Defender,Left Center Back,LCB,97.42,97.42,2510.0,70419.0,00:00:00,,True,0,0,0,0,False,1999-02-25,male
2017461,14736,1507966,14933,4177,Auckland FC,6,L. Verstraete,Louis,Verstraete,Midfield,Right Midfield,RM,97.42,97.42,2510.0,70419.0,00:00:00,,True,0,0,0,0,False,1999-05-04,male
2017461,4322,1507958,4332,4177,Auckland FC,2,H. Sakai,Hiroki,Sakai,Full Back,Right Back,RB,97.42,97.42,2510.0,70419.0,00:00:00,,True,0,0,0,0,False,1990-04-12,male
2017461,38673,1507965,39794,4177,Auckland FC,10,G. May,Guillermo Luis,May Bartesaghi,Center Forward,Center Forward,CF,97.42,97.42,2510.0,70419.0,00:00:00,,True,0,0,0,0,False,1998-03-11,male
2017461,51667,1507974,52793,4177,Auckland FC,23,D. Hall,Daniel,Hall,Central Defender,Right Center Back,RCB,97.42,97.42,2510.0,70419.0,00:00:00,,True,0,0,0,0,False,1999-06-14,male
2017461,285188,1507970,286745,4177,Auckland FC,12,A. Paulsen,Alex Noah,Paulsen,Other,Goalkeeper,GK,97.42,97.42,2510.0,70419.0,00:00:00,,True,0,0,0,0,False,2002-07-04,male
